"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"400014","466598","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","1210.00",".00","1210.00",".00","1210.00","","{F808D790-7C94-3212-2C99-8FDC108138EB}"
"400189","467755","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","67.51","67.51",".00",".00",".00",".00",".00","","{5BB8DDA4-0A16-17DF-DE56-06100BDD60A6}"
"400190","467756","2","175.00","2","1070.00","0",".00","0",".00","4","1245.00",".00","1070.00",".00","1109.50","2179.50",".00",".00",".00",".00",".00","","{1C0EA30A-FD87-7BA5-20F1-53F1B2EAF096}"
"400191","467766","263","688068.69","13","162816.55","990","21974.31","2","6.89","1268","872866.44",".00","162816.55","6.89","703231.74","866055.18",".00",".00",".00",".00",".00","","{8F193FBD-D5E9-DEDB-0B45-DCC1727AC74E}"
"400199","467906","1","1000.00","0",".00","0",".00","0",".00","1","1000.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D31B62F8-E080-5A4B-A2C4-2176BFB5B011}"
"400200","467924","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{743B7FDF-64B5-D6CC-F1D7-D2315A121AD0}"
"400207","467945","2","510.25","0",".00","0",".00","0",".00","2","510.25",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FE7A907A-512E-75CF-EF30-256A344D59E8}"
"400208","467946","4","850.00","0",".00","0",".00","1","92.65","5","942.65",".00",".00","92.65",".00","92.65",".00",".00",".00",".00",".00","","{3857827B-9208-8995-49BC-C0707CB78E5A}"
"400209","467947","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0ACF2D04-9422-E5DF-A91B-56BC786FAD7E}"
"400210","467948","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8E8758BB-0DB6-5E4E-BC4B-E0B6A32DA1AE}"
"400211","467949","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{2C6D35C5-69D9-DCF1-7F8F-DD7C51011493}"
"400212","467950","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{DAE13299-E1B8-4BDB-7A32-AEB0FC9034D9}"
"400213","467951","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{A88E40AA-7195-B2C2-31CF-B8319DB7BE22}"
"400214","467952","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7E436FC6-2704-4132-974A-431D17913ACF}"
"400215","467953","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F58E07BC-A9C3-CEF9-275E-2CEF145F96E9}"
"400216","467954","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{612E4AB4-A916-5D5C-F30D-0282138D08FC}"
"400217","467955","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8AA0AB58-BB37-2880-B8A0-516A0D9477A6}"
"400218","467956","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0B55B189-6A41-AE3F-C9D5-E88C59D1A448}"
"400221","467959","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{CA584971-BD00-384E-72EE-E0C318AC09C8}"
"400222","467960","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3E1AC627-1A72-08DB-9D40-6DFCAE5D92F2}"
"400224","467964","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1360.25","1360.25",".00",".00",".00",".00",".00","","{F58E07BC-A9C3-CEF9-275E-2CEF145F96E9}"
"400225","467965","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{612E4AB4-A916-5D5C-F30D-0282138D08FC}"
"400231","467971","2","485.25","0",".00","0",".00","0",".00","2","485.25",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FE7A907A-512E-75CF-EF30-256A344D59E8}"
"400232","467972","4","850.00","0",".00","0",".00","1","92.65","5","942.65",".00",".00","92.65","1360.25","1452.90",".00",".00",".00",".00",".00","","{3857827B-9208-8995-49BC-C0707CB78E5A}"
"400233","467973","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0ACF2D04-9422-E5DF-A91B-56BC786FAD7E}"
"400234","467974","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{8E8758BB-0DB6-5E4E-BC4B-E0B6A32DA1AE}"
"400235","467975","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{2C6D35C5-69D9-DCF1-7F8F-DD7C51011493}"
"400236","467976","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{DAE13299-E1B8-4BDB-7A32-AEB0FC9034D9}"
