"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"427293","491116","802.78","3762.16",".00",".00","3762.16","4564.94","264.94","4300.00",".00","4564.94",".00",".00","802.78",".00","3762.16","3762.16","4564.94",".00","4564.94","4564.94",".00","","{5A24E1D1-4E55-9E03-8670-FAE2ED70596E}"
"427437","491311",".00","2918.52",".00",".00","2918.52","2918.52","1431.10",".00",".00","1431.10","1487.42",".00",".00","43.16","2918.52","2961.68","2961.68","43.16","1431.10","1474.26","1487.42","","{8A870355-9E1A-CDB3-B40F-1175287670DD}"
"427438","491312","301.59",".00",".00",".00",".00","301.59",".00",".00",".00",".00","301.59",".00","301.59",".00",".00",".00","301.59",".00",".00",".00","301.59","","{06C0998A-CCDE-177F-309A-B29958667FA2}"
"427443","491317","25836.03",".00","223.00",".00","223.00","26059.03","5098.32",".00",".00","5098.32","20960.71",".00","25836.03",".00","223.00","223.00","26059.03",".00","5098.32","5098.32","20960.71","","{A1CCA906-BE68-9FB7-7B42-E7C2969BBBA2}"
"427444","491318","7325.88","3085.00",".00",".00","3085.00","10410.88","2094.85",".00",".00","2094.85","8316.03",".00","1551.54","7895.96","3085.00","10980.96","12532.50","2121.62","2094.85","4216.47","8316.03","","{D0D33792-4894-CE8B-0940-3E8EB380E34D}"
"427447","491321","234.00",".00",".00",".00",".00","234.00",".00",".00",".00",".00","234.00","300.00",".00","300.00",".00","300.00","300.00","66.00",".00","66.00","234.00","","{18B6CC11-E423-25FD-AA65-04940CD7495A}"
"427448","491322","800.90",".00",".00","20.00","20.00","820.90","20.00",".00",".00","20.00","800.90","40900.69","1091.30","40.00","20.00","60.00","1151.30","330.40","20.00","350.40","800.90","","{5B6EA1D3-08AF-5FE0-1DC4-F105B3F281B9}"
"427449","491323","500.00",".00",".00",".00",".00","500.00",".00",".00",".00",".00","500.00",".00",".00","500.00",".00","500.00","500.00",".00",".00",".00","500.00","","{23F49E78-7A82-3421-FC7B-C90A9FA50474}"
"427450","491324","100.00",".00",".00",".00",".00","100.00",".00",".00",".00",".00","100.00","100.00",".00","100.00",".00","100.00","100.00",".00",".00",".00","100.00","","{8C7FCD9C-C40B-DEC0-029F-2F62A48A95A3}"
"427452","491326","295.71",".00",".00",".00",".00","295.71",".00",".00",".00",".00","295.71",".00","155.71","150.00",".00","150.00","305.71","10.00",".00","10.00","295.71","","{C683D049-D196-AD5E-967A-9D75BF15B7D6}"
"427454","491328","628.08",".00",".00",".00",".00","628.08",".00",".00",".00",".00","628.08",".00","686.48",".00",".00",".00","686.48","58.40",".00","58.40","628.08","","{CD525785-8245-09BB-F927-E48220FF7527}"
"427455","491329","489.83",".00",".00",".00",".00","489.83",".00",".00",".00",".00","489.83",".00","489.83",".00",".00",".00","489.83",".00",".00",".00","489.83","","{362BC56B-BF50-0EE2-4FCB-72E6D316B80D}"
"427456","491330",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6DC99DA0-4E7A-1E86-F173-16B2911E3545}"
"427457","491331","120.30",".00",".00",".00",".00","120.30",".00",".00",".00",".00","120.30","175.00","110.30","82.00",".00","82.00","192.30","72.00",".00","72.00","120.30","","{E9A43573-636C-40FE-3AD9-52E4C8035BAF}"
"427458","491332","120.30",".00",".00",".00",".00","120.30",".00",".00",".00",".00","120.30","175.00","110.30","82.00",".00","82.00","192.30","72.00",".00","72.00","120.30","","{E9A43573-636C-40FE-3AD9-52E4C8035BAF}"
"427461","491335",".00","5.00",".00",".00","5.00","5.00",".00",".00",".00",".00","5.00",".00",".00",".00","5.00","5.00","5.00",".00",".00",".00","5.00","","{6DC99DA0-4E7A-1E86-F173-16B2911E3545}"
"427462","491337","875.85","1000.00",".00",".00","1000.00","1875.85",".00",".00",".00",".00","1875.85",".00","1517.07",".00","1000.00","1000.00","2517.07","641.22",".00","641.22","1875.85","","{62A6180C-E526-5CB4-4AF3-13C347528CC6}"
"427465","491340",".00","55.00",".00",".00","55.00","55.00",".00",".00",".00",".00","55.00",".00",".00",".00","55.00","55.00","55.00",".00",".00",".00","55.00","","{7724AE1B-4BE5-87BC-D52D-488EA589196F}"
"427466","491341","8648.55",".00",".00",".00",".00","8648.55",".00",".00",".00",".00","8648.55","7767.43","8648.55",".00",".00",".00","8648.55",".00",".00",".00","8648.55","","{581EBCDD-59EE-631B-2A00-FF3A3D4F9620}"
"427468","491343","267.46",".00",".00",".00",".00","267.46","162.00",".00",".00","162.00","105.46",".00","291.46",".00",".00",".00","291.46","24.00","162.00","186.00","105.46","","{4675B6A5-41D5-88AC-8A6B-FF3F2ECC5021}"
"427469","491344","2262.13",".00",".00",".00",".00","2262.13",".00",".00",".00",".00","2262.13",".00","2568.13",".00",".00",".00","2568.13","306.00",".00","306.00","2262.13","","{F8906505-9AE6-CE57-9EF0-18B754884245}"
"427471","491346","48.97",".00",".00",".00",".00","48.97",".00",".00",".00",".00","48.97",".00","48.97",".00",".00",".00","48.97",".00",".00",".00","48.97","","{E9E24100-F0F9-794A-52B0-ED44E39DF7EE}"
"427472","491347","7077.23","8705.00",".00",".00","8705.00","15782.23","2906.13",".00",".00","2906.13","12876.10",".00","25.00","11805.48","8705.00","20510.48","20535.48","4753.25","2906.13","7659.38","12876.10","","{04F15C6E-F4C2-7B8A-59C1-EC1F6715EBCE}"
"427474","491349",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5A40AF08-6276-CB26-3FC9-DE2413FAC4EC}"
"427476","491351","371.51",".00",".00",".00",".00","371.51",".00",".00",".00",".00","371.51",".00","351.51","111.36",".00","111.36","462.87","91.36",".00","91.36","371.51","","{CD42FB4E-F1E4-28EE-CBB7-F608960277CE}"
"427477","491352","298.42",".00",".00",".00",".00","298.42",".00","298.42",".00","298.42",".00","1476.58","298.42",".00",".00",".00","298.42",".00","298.42","298.42",".00","","{91EE0E6B-4E95-B403-5E15-9DFC4272D601}"
"427478","491353","57647.30","3600.00",".00",".00","3600.00","61247.30","1049.67",".00",".00","1049.67","60197.63",".00","56133.61","4395.91","3600.00","7995.91","64129.52","2882.22","1049.67","3931.89","60197.63","","{ABB9B3DE-BDED-83AC-ACB8-6F2495F58B00}"
"427480","491355","33.16",".00",".00",".00",".00","33.16",".00",".00",".00",".00","33.16",".00","33.16",".00",".00",".00","33.16",".00",".00",".00","33.16","","{E374185F-43E6-996A-DAF4-CE800DBF7D4D}"
"427485","491360","2.72",".00",".00",".00",".00","2.72",".00",".00",".00",".00","2.72",".00",".00","3180.00",".00","3180.00","3180.00","3177.28",".00","3177.28","2.72","","{58FEC6FB-30EC-8933-FC1A-2B3B97A6C428}"
"427487","491362","13179.99","3836.00",".00",".00","3836.00","17015.99","3107.94",".00",".00","3107.94","13908.05",".00","950.44","17050.00","3836.00","20886.00","21836.44","4820.45","3107.94","7928.39","13908.05","","{909880A4-FC13-6989-12D6-027E0054491F}"
"427488","491363","1097.08",".00",".00",".00",".00","1097.08",".00",".00",".00",".00","1097.08","31165.90","1197.08",".00",".00",".00","1197.08","100.00",".00","100.00","1097.08","","{BC5740F9-4FC5-EB33-6758-A9925A57323A}"
